;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
16. Aug 97;;;;;;;;;;;;;0.193467124;0.286466372;0.309879504;;;0.0949229;;0.000900578;;;;;;
18. Sep 97;;;;;;;;;;;;;0.257806252;0.123071852;;;;0.36211286;0.008167904;;;;;;;
18-OCT-1997;;;;;;;;;;;;;0.242068656;;;;;0.731178492;0.048107912;;0.021280422;;;0.044933368;;
17. Nov 97;0.005043549;;;0.066667559;;;;;;;;;0.191207309;;0.325568953;;;0.879236488;;;0.076905538;;;0.203732797;;
17-DEC-1997;;;;0.207900957;;;;;;;;;;;0.12318514;;;0.671428346;;;0.128148835;;;0.019477222;;
16. Jan 98;;;;0.180303293;;;;;;;;;;;;;;0.100709902;;;;;;;;0.141729756
15. Feb 98;;;;0.178825955;;;;;;;;;;;;;;;;;;;;;;0.058186033
17-MAR-1998;;;;0.114613424;;;;;;;;;;;;;;;;;;;;;0.083611045;
16. Apr 98;;;;0.105909241;;;;;;;;;;;;;;;;;;;;;0.044347007;
16-MAY-1998;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jun 98;;;;;;;;;;;;;;;;;;;;;0.052038065;;;;;
15. Jul 98;;;;;;;;;;;;;;;;;;;;;0.046958742;;;;;
16. Aug 98;;;;;;;;;;;;;;;;;;0.007033155;;;0.015575259;;;;;
18. Sep 98;;;;;;;;;0.015538899;;;;;;;;;;;;0.013271062;;;;;
18-OCT-1998;;;;;;;;;;;;;;;;;;;;;0.126213825;;;;;
17. Nov 98;;;;;;;;;0.115203415;;;;;;;;;;;;0.020760816;;;;;
17-DEC-1998;;;;;;;;;0.0363682;;;;;;;;;;;;;;;;;
16. Jan 99;;;;;;;;;0.011703739;;;;;;;;;;;;;;;;;
15. Feb 99;;;;;;;;;;;;;;;;;;;;;0.005490784;;;;;
17-MAR-1999;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Apr 99;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-1999;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jun 99;;;;;;;;;;;;;;;;;;;;;0.022677908;;;;0.281057749;
15. Jul 99;;;;;;;;;;;;;0.00248432;;;;;;;;0.030431221;;;;;
16. Aug 99;;;;;;;0.10905999;;;;;;;;;;;;;;;;;;;0.052178586
