;al;bits;dfo_nf;dfo_qcs;ebs;evhoe;fr_cgfs;gmex;goa;gsl_n;gsl_s;ice_gfs;ie_igfs;neus;nigfs;nor_bts;ns_ibts;nz;pt_ibts;rocall;s_georg;scs;seus;swc_ibts;wcann;wctri
14. Feb 90;;0.954474399;;;;0.041079117;0.756430256;0.038854359;;;;;;;0.098631032;0.088186141;0.360284078;;;;;;0.146907865;;;
16-MAR-1990;;1.178633428;;;;0.130488244;0.882721105;;;;;;;0.425171751;0.080230437;0.055977395;0.381671062;;;;;;0.253043166;;;
18. Apr 90;;1.049845092;;;;;0.326749671;;;;;;;0.101927431;;0.281544568;0.062734426;;;;;;;;;
18-MAY-1990;;0.868361649;;;;1.272063447;0.531075697;;;;;;0.418331915;;;;0.481898268;;0.057490242;;;;;0.178376015;;
17. Jun 90;;;;;;;;;;;;;;;;0.262777563;;;;;0.082918786;;;;;
17. Jul 90;;;;;;;;;;;;;;;;0.91089078;;;;;0.075332257;;;;;
16. Aug 90;;;;;;0.112926633;0.099462337;;;;;;;;;0.416012541;;;0.306826983;;;;;;;
15. Sep 90;;;;0.040701757;;;;;;;;;;;;0.636661778;;;;;;;;;0.203841842;
15-OCT-1990;;;0.060789148;;;;;;;;0.733221926;;;0.361442273;;0.058296638;;;;;;;0.162336997;;;
14. Nov 90;;;;;;;;;;;;;;;;;;;;;;;;;;
16-DEC-1990;;;;;;;;0.071790481;;;;;;;;;;;;;;;;;;
18. Jan 91;;;;;;;;0.171370854;;;;;;0.259965028;;;;;;;;;0.249088943;;;
14. Feb 91;;;;;;;;;;;;;;0.400485449;;;;;;;;;0.190575245;;;
16-MAR-1991;;;;;;;;;;;;;;0.193917566;;;;;;;;;;;;
18. Apr 91;;;;;;;;0.22029024;;;;;;;;;;;;;;;;;;
18-MAY-1991;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jun 91;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jul 91;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 91;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Sep 91;;;;;;0.225281508;;;;;;;0.088547856;;;;;;0.224710134;;;;;;;
15-OCT-1991;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Nov 91;;;;;;;;;;0.053658748;;;;;;;;;;;;;;;;
16-DEC-1991;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Jan 92;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Feb 92;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-1992;;;;;;;;;;;;;;;0.227565873;;;;;;;;;;0.50902715;0.182420211
17. Apr 92;;;;;;;;;;;;;;;;;;;;;;;;;0.160202019;
17-MAY-1992;;;;;;;;;;;;;;;;;;;;;;;;;0.325234291;0.332252852
16. Jun 92;;0.544719086;;;;;;;;;;;;;;0.125656529;0.654345983;;;;;;;0.196626988;;
16. Jul 92;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Aug 92;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Sep 92;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-1992;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 92;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-1992;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 93;;;;;;;;0.231992463;;;;;;;;;;;;;;;0.932715643;;;
16. Feb 93;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-1993;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 93;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-1993;;0.492918137;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 93;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 93;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Aug 93;;;;;;;;;;;;;;;;;;;;;;;;;;
14. Sep 93;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-1993;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 93;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-1993;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 94;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 94;;;;;;;;;;;;;;;;;;;;;;;;;;
18-MAR-1994;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Apr 94;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-1994;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jun 94;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 94;;;;;;;;;;;;;;;;;;;;;;0.001429442;;;;
15. Aug 94;;0.25603945;;;;;;;;;;;;;;;;;;;;0.13179819;;;;0.446156718
14. Sep 94;;;;;;;;;;;;;;;;;;;;;;;;;;
16-OCT-1994;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Nov 94;;;;;;;;;;;;;;;;;;;;;;;;;;
18-DEC-1994;;;;;;;0.157898199;;;;;;;;;;;;;;;;;;;
17. Jan 95;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 95;;;;;;;0.377943361;;;;;;;;;;;;;;0.008171775;;;;;
18-MAR-1995;;;;;;;0.161280927;;;;;;;;;;;;;;;;;;;
17. Apr 95;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAY-1995;;;;;;;;0.01339111;;;;;;;;;;;;;;;;;;
16. Jun 95;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jul 95;;;;;;;;;;;;;0.088917752;;;;;;;;;;;;0.224856862;0.141108858
15. Aug 95;;0.201302072;;;;0.0037734;0.00177827;;;;;;1.278468867;;0.404992574;;0.376485167;;;0.282082467;;;;0.876054352;;
14. Sep 95;;;;;;;;;;;;;0.282986279;;;;;;;;;;;0.185759016;0.233680348;0.165903879
16-OCT-1995;;;;;;;;;;;;;;;0.075357994;;;;;;;;;;;
18. Nov 95;;;;;;;;;;;;;0.083649412;;0.255776405;;;;0.112203804;;;;;;;
18-DEC-1995;;;;;;;;;;;;;;;;;;;;;;;;;;
17. Jan 96;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Feb 96;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAR-1996;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Apr 96;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-1996;0.001962355;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jun 96;0.092391861;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jul 96;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 96;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Sep 96;;;;;;;;;;;;;;;;;;;;;;;;;;
18-OCT-1996;0.110988892;;;;;;;;;;;;;;;;;;;;;;;;;
17. Nov 96;;;;;;;;;;;;;;;;;;;;;;;;;;
17-DEC-1996;0.017966579;;;;;;;;;;;;;;;;;;;;;;;;;
16. Jan 97;0.038044681;;;;;;;;;;;;;;;;;;;;0.23691247;;;;;
15. Feb 97;;;;;;;;;;;;;;;;;;;;;;;;;;
17-MAR-1997;;;;;;;;0.001358029;;;;;;;;;;;0.303760599;;;;0.381987708;;;
16. Apr 97;;;;;;;;;;;;;;;;;;;0.868996899;;;;;;;
16-MAY-1997;;;;;;;;;;;;;;;;;;;0.171920275;;;;;;;
15. Jun 97;;;;;;;;;;;;;;;;;;;;;;;;;0.32689707;
15. Jul 97;;;;;;;;;0.138607458;;;;;;;;;;;;;;;;0.071588382;
16. Aug 97;;0.700440224;;;;;;;0.169012424;;;;;;0.05884966;;0.875920518;;;;;;;0.115128377;0.432632083;0.03799659
18. Sep 97;;;;;;;;;;;;;;;;;;;;;;;;;0.136960486;0.551133818
18-OCT-1997;;;;;;;;;;;;;;;;;;;0.105342536;;;;;;;
17. Nov 97;;;;;;;;;;;;;0.02977238;;0.186207778;;;;;0.012280904;;;;0.140132617;;0.111235916
17-DEC-1997;;;;0.141826832;;;;;;;;0.283891489;;;0.346112787;;;;;;;;;0.15890698;0.183189468;0.227735251
16. Jan 98;;;;;;;;;;;;0.057566037;;;0.276961384;;;;;;;;;;0.235345972;0.266755514
15. Feb 98;;;;0.181666069;;;;;;;;;;;0.425297407;;;;;;;;;0.140045148;;0.018888491
17-MAR-1998;;;;0.276354645;;;;;0.076170812;;;;;;0.240164046;;;;0.250692331;;;;;;;
16. Apr 98;;;;;;;;;;;;;;;;;;;;;;;;;;
16-MAY-1998;;;;;;;;;;0.176988953;0.199267633;;;;;;;;;;;;;;;
15. Jun 98;;;;;;;;;;;;;;;;;;;;;;;;;;
15. Jul 98;;;;;;;;;;;;;;;;;;;;;;;;;;
16. Aug 98;;;;;;;;;;;;;;;;;;;;;;;;;;
18. Sep 98;;;;;;;;;;;;;;;;;;;;;;;;;;
