ref_yr,survey,year,wt_mt,wt_mt_med,num,num_med,depth_wt,wt_mt_log,wt_mt_log_med,num_log,num_log_med,depth_wt_log,CTI,cti_diff,cti_log
SWC-IBTS-2-2002,SWC-IBTS,2002,7.215861598363502,853.6020586351709,89815.19194011818,10419.905907102091,121.40234592672314,0.27115783348688316,0.019875371339413014,0.17019655425338737,-0.06820256634855122,-0.09182734252582005,8.437010243100254,-1.7823560527508029,-0.19165656732452052
BITS-2-2003,BITS,2003,3.537473817137913,516.3654602588023,135306.21445656303,4827.3242630073155,58.81864714630158,-0.2911359539392315,-0.44724953035804216,-0.2880731902879061,-0.8468509791362322,-0.025585806224298267,7.695653219796227,-0.07694889149658302,-0.009949347823609393
DFO-QCS-7-2003,DFO-QCS,2003,2.7363285795672942e-12,2.2643257174158536e-10,1.5880926279933595e-10,0,215.94353771310384,NA,NA,NA,NA,NA,8.232129683641404,NA,NA
EBS-6-2003,EBS,2003,27.24242687150844,8605.99,49362.50910614521,11835.76,80.24210767951394,0.338286827244522,0.5502264602519478,0.1703577249063246,0.2840039668397446,-0.0034484392829734487,6.053775671665184,0.055083175647463456,0.00914062719802572
EVHOE-10-2003,EVHOE,2003,10.001674365946188,349.462503314633,114750.54355157666,5139.356290537486,140.92551391065308,0.18158581513991237,-0.3425798367141547,-0.42447166841699746,-0.7235538126615866,0.010135048075742214,15.501922253002723,-0.1719416691746165,-0.011030574279749706
FR-CGFS-10-2003,FR-CGFS,2003,1.9143665085295574,102.6641413577748,46861.4189289084,3381.883123186573,31.179467115830946,0.09267645180704222,-0.10715864423476988,0.6867019558158839,0.5443996241617466,0.13687210901490304,14.971342641193145,-0.5048079875773581,-0.03316228664643719
GMEX-6-2003,GMEX,2003,0.855326947056957,27.08102839248045,29234.746745060325,1839.3362211143556,77.32164279869777,0.1382503806844397,0.004942933244582274,0.21799747633031347,0.5854014439059146,0.19533285680503937,23.898353376778587,-0.803948394763033,-0.033086868228429496
GOA-5-2003,GOA,2003,25.706470121936235,3161.04,43771.985390937545,4807.835000000001,149.01757338620808,0.09804479677182557,0.15211097561318684,0.11752044859417567,0.40619959598676286,0.06070651236948029,7.359940087929996,0.13522038038975293,0.018543354038911004
IE-IGFS-10-2003,IE-IGFS,2003,3.932086533578984,1651.3458084604945,55599.2118489059,15386.603240571887,106.95478513610472,NA,NA,NA,NA,NA,10.436181307967953,NA,NA
NEUS-9-2003,NEUS,2003,4.399954523971439,5.72916666666667,NA,NA,70.75610352118643,-0.33507526152931666,-1.5638698245245892,NA,NA,-0.036472091728731997,15.157381125525925,0.24681453061457503,0.016417487260822212
