survey,year,month_year,ref_yr,survey_date
NS-IBTS,1998,1-1998,NS-IBTS-1-1998,1998-01-01
NS-IBTS,1999,1-1999,NS-IBTS-1-1999,1999-01-01
NS-IBTS,2000,1-2000,NS-IBTS-1-2000,2000-01-01
NS-IBTS,2001,1-2001,NS-IBTS-1-2001,2001-01-01
NS-IBTS,2002,1-2002,NS-IBTS-1-2002,2002-01-01
NS-IBTS,2003,1-2003,NS-IBTS-1-2003,2003-01-01
NS-IBTS,2004,1-2004,NS-IBTS-1-2004,2004-01-01
NS-IBTS,2005,1-2005,NS-IBTS-1-2005,2005-01-01
NS-IBTS,2006,1-2006,NS-IBTS-1-2006,2006-01-01
NS-IBTS,2007,1-2007,NS-IBTS-1-2007,2007-01-01
NS-IBTS,2008,1-2008,NS-IBTS-1-2008,2008-01-01
NS-IBTS,2009,1-2009,NS-IBTS-1-2009,2009-01-01
NS-IBTS,2010,1-2010,NS-IBTS-1-2010,2010-01-01
NS-IBTS,2011,1-2011,NS-IBTS-1-2011,2011-01-01
NS-IBTS,2012,1-2012,NS-IBTS-1-2012,2012-01-01
NS-IBTS,2013,1-2013,NS-IBTS-1-2013,2013-01-01
NS-IBTS,2014,1-2014,NS-IBTS-1-2014,2014-01-01
NS-IBTS,2015,1-2015,NS-IBTS-1-2015,2015-01-01
NS-IBTS,2016,1-2016,NS-IBTS-1-2016,2016-01-01
NS-IBTS,2017,1-2017,NS-IBTS-1-2017,2017-01-01
NS-IBTS,2018,1-2018,NS-IBTS-1-2018,2018-01-01
NS-IBTS,2019,1-2019,NS-IBTS-1-2019,2019-01-01
SWC-IBTS,2011,1-2011,SWC-IBTS-1-2011,2011-01-01
SWC-IBTS,2012,1-2012,SWC-IBTS-1-2012,2012-01-01
SWC-IBTS,2013,1-2013,SWC-IBTS-1-2013,2013-01-01
SWC-IBTS,2014,1-2014,SWC-IBTS-1-2014,2014-01-01
SWC-IBTS,2015,1-2015,SWC-IBTS-1-2015,2015-01-01
SWC-IBTS,2016,1-2016,SWC-IBTS-1-2016,2016-01-01
SWC-IBTS,2017,1-2017,SWC-IBTS-1-2017,2017-01-01
SWC-IBTS,2018,1-2018,SWC-IBTS-1-2018,2018-01-01
SWC-IBTS,2019,1-2019,SWC-IBTS-1-2019,2019-01-01
SWC-IBTS,1985,1-1985,SWC-IBTS-1-1985,1985-01-01
SWC-IBTS,1986,1-1986,SWC-IBTS-1-1986,1986-01-01
SWC-IBTS,1987,1-1987,SWC-IBTS-1-1987,1987-01-01
SWC-IBTS,1988,1-1988,SWC-IBTS-1-1988,1988-01-01
SWC-IBTS,1989,1-1989,SWC-IBTS-1-1989,1989-01-01
SWC-IBTS,1990,1-1990,SWC-IBTS-1-1990,1990-01-01
SWC-IBTS,1991,1-1991,SWC-IBTS-1-1991,1991-01-01
SWC-IBTS,1992,1-1992,SWC-IBTS-1-1992,1992-01-01
SWC-IBTS,1993,1-1993,SWC-IBTS-1-1993,1993-01-01
SWC-IBTS,1994,1-1994,SWC-IBTS-1-1994,1994-01-01
