ref_year,region,year,wt,wtMt,wtMtDiff,wtMtDiffProp,wtMtAnom,wtMtAnomProp,wtMtZ,wtMtLog,CTI,ctiDiff,ctiDiffProp,ctiAnom,ctiAnomProp,ctiZ,ctiLog,anomDays,anomSev,anomIntC,mhwYesNo,metric
west_coast_annual-5-2006,west_coast_annual,2006,222.5991092685458,0.2225991092685458,-0.0073224854636051995,-0.03184774997814185,-0.09091167590607888,-0.2899794208210136,-0.44228127183650856,-0.03236592099281499,8.598368957098772,0.05998009830078743,0.007024755992342014,-0.24076169750973442,-0.02723816480574446,-0.5461351288519745,0.007000197339252934,0,0,0,no,sst
bits-2-2007,bits,2007,4661.858657619971,4.661858657619971,0.0892716622073948,0.01952322881925617,-0.35033686609138126,-0.06989688738877634,-0.19129679295895352,0.019335095293904373,7.4461652877713815,0.0015518394432749716,2.084513123543681e-4,0.09613554362155163,0.01307961286797099,0.2357419396366095,2.0842958939828522e-4,0,0,0,yes,soda_b
bits-2-2007,bits,2007,4661.858657619971,4.661858657619971,0.0892716622073948,0.01952322881925617,-0.35033686609138126,-0.06989688738877634,-0.19129679295895352,0.019335095293904373,7.4461652877713815,0.0015518394432749716,2.084513123543681e-4,0.09613554362155163,0.01307961286797099,0.2357419396366095,2.0842958939828522e-4,2,1.861101296,0.930550648,yes,soda_s
bits-2-2007,bits,2007,4661.858657619971,4.661858657619971,0.0892716622073948,0.01952322881925617,-0.35033686609138126,-0.06989688738877634,-0.19129679295895352,0.019335095293904373,7.4461652877713815,0.0015518394432749716,2.084513123543681e-4,0.09613554362155163,0.01307961286797099,0.2357419396366095,2.0842958939828522e-4,86,57.943953655999984,0.673766902976744,yes,sst
eastern_bering_sea-5-2007,eastern_bering_sea,2007,307.947411797753,0.307947411797753,0.0041618199438202,0.013699859556938105,-0.016450402409100173,-0.05071058339070845,-0.23140120708451067,0.01360686486121194,7.98002742541767,0.07223208825681571,0.009134289037220997,0.34118997742735413,0.04466517055119651,0.7193085128505916,0.00909282373189628,0,0,0,no,soda_b
eastern_bering_sea-5-2007,eastern_bering_sea,2007,307.947411797753,0.307947411797753,0.0041618199438202,0.013699859556938105,-0.016450402409100173,-0.05071058339070845,-0.23140120708451067,0.01360686486121194,7.98002742541767,0.07223208825681571,0.009134289037220997,0.34118997742735413,0.04466517055119651,0.7193085128505916,0.00909282373189628,0,0,0,no,soda_s
eastern_bering_sea-5-2007,eastern_bering_sea,2007,307.947411797753,0.307947411797753,0.0041618199438202,0.013699859556938105,-0.016450402409100173,-0.05071058339070845,-0.23140120708451067,0.01360686486121194,7.98002742541767,0.07223208825681571,0.009134289037220997,0.34118997742735413,0.04466517055119651,0.7193085128505916,0.00909282373189628,0,0,0,no,sst
evhoe-10-2007,evhoe,2007,7993.45096285293,7.99345096285293,2.5860566558038736,0.47824451278367125,1.5038648800633156,0.23173510003227574,0.9652064801053201,0.39085524374416125,17.24258002667987,1.717092922477745,0.11059832847453764,1.0009422797568526,0.06162816184879393,0.901523059753454,0.10489890475899094,0,0,0,yes,soda_b
evhoe-10-2007,evhoe,2007,7993.45096285293,7.99345096285293,2.5860566558038736,0.47824451278367125,1.5038648800633156,0.23173510003227574,0.9652064801053201,0.39085524374416125,17.24258002667987,1.717092922477745,0.11059832847453764,1.0009422797568526,0.06162816184879393,0.901523059753454,0.10489890475899094,2,0.18283582299999998,0.09141791149999999,yes,soda_s
evhoe-10-2007,evhoe,2007,7993.45096285293,7.99345096285293,2.5860566558038736,0.47824451278367125,1.5038648800633156,0.23173510003227574,0.9652064801053201,0.39085524374416125,17.24258002667987,1.717092922477745,0.11059832847453764,1.0009422797568526,0.06162816184879393,0.901523059753454,0.10489890475899094,37,15.451640374999998,0.41761190202702697,yes,sst
fr_cgfs-10-2007,fr_cgfs,2007,2240.2679099710645,2.2402679099710645,0.12146413718139959,0.05732675141571848,-1.2983322878807537,-0.3669056167093795,-0.4160365830400488,0.05574379006845671,16.5780913300258,-0.06291203530353329,-0.003780543391668753,0.918350957931894,0.05864407302489006,1.220834855379953,-0.0037877077082101285,1,0.00510108,0.00510108,yes,soda_b
